lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,25_dbm,33_dbm,181_dbm,208_dbm,200_dbm,476_dbm,189_dbm,188_dbm,443_dbm,459_dbm,196_dbm,131_dbm,timestamp,intersection_points,label
24.7891652,120.9950848,11.626999855041504,325.1625671386719,0.0,81.6,47.76,-17.279999,-48.63846,-83,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7891652,120.9950848,11.626999855041504,325.1625671386719,0.0,78.06,55.8,-13.86,-51.137836,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7891792,120.9950841,11.78600025177002,0.9287883639335632,0.0,70.14,56.46,-12.719999,-52.957073,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7891792,120.9950841,11.78600025177002,0.9287883639335632,0.0,49.14,60.42,4.44,-38.92162,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7891792,120.9950841,11.78600025177002,0.9287883639335632,0.0,56.399998,61.32,-0.35999998,-44.96841,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7891792,120.9950841,11.78600025177002,0.9287883639335632,0.0,77.04,67.86,0.53999996,-44.609085,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892006,120.995085,11.54800033569336,9.7222900390625,0.0,73.619995,66.0,-3.12,-50.987274,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892006,120.995085,11.54800033569336,9.7222900390625,0.0,51.3,61.32,1.26,-32.72819,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.789219,120.9950859,11.342000007629395,8.873787879943848,0.0,59.28,61.02,-5.3399997,-44.2364,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.789219,120.9950859,11.342000007629395,8.873787879943848,0.0,69.9,66.9,-3.78,-40.40741,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.789219,120.9950859,11.342000007629395,8.873787879943848,0.0,63.059998,61.379997,-6.7799997,-45.95842,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892348,120.9950869,11.144000053405762,10.427201271057129,0.0,48.78,59.76,6.0,-39.9353,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892348,120.9950869,11.144000053405762,10.427201271057129,0.0,60.66,53.46,-11.5199995,-50.505043,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892348,120.9950869,11.144000053405762,10.427201271057129,0.0,72.78,57.84,-11.4,-40.45108,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892348,120.9950869,11.144000053405762,10.427201271057129,0.0,64.14,55.32,-11.099999,-49.27518,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892348,120.9950869,11.144000053405762,10.427201271057129,0.0,49.02,54.78,-2.82,-40.179157,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892509,120.995087,10.925000190734863,2.7304847240448,0.0,63.0,50.82,-13.62,-50.12541,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892509,120.995087,10.925000190734863,2.7304847240448,0.0,75.119995,55.92,-11.16,-48.950497,0,-86,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892509,120.995087,10.925000190734863,2.7304847240448,0.0,60.359997,52.68,-11.46,-41.855545,-85,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892509,120.995087,10.925000190734863,2.7304847240448,0.0,61.379997,51.84,-10.559999,-48.391735,-85,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892848,120.9950862,10.670000076293945,356.184326171875,0.0,74.34,50.64,-14.58,-52.674065,-85,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892848,120.9950862,10.670000076293945,356.184326171875,0.0,79.259995,50.76,-14.94,-64.86488,-85,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892989,120.9950853,10.545000076293945,355.9869079589844,0.0,62.28,49.92,-10.74,-30.69452,-85,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892989,120.9950853,10.545000076293945,355.9869079589844,0.0,65.88,48.059998,-14.099999,-57.5078,-85,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892989,120.9950853,10.545000076293945,355.9869079589844,0.0,80.1,54.84,-10.62,-45.769142,-85,0,0,0,0,0,0,0,0,0,0,0,15,0,0
24.7892989,120.9950853,10.545000076293945,355.9869079589844,0.0,74.939995,61.14,-7.14,-44.961967,-85,0,0,0,0,0,0,0,0,0,0,0,15,0,0
