lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,33_dbm,25_dbm,181_dbm,208_dbm,188_dbm,246_dbm,200_dbm,timestamp,intersection_points,label
24.7892251,120.995119,8.079000473022461,86.00537872314453,0.0,97.14,46.86,-8.22,-47.847454,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.995119,8.079000473022461,86.00537872314453,0.0,85.68,53.46,-4.08,-56.944786,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.995119,8.079000473022461,86.00537872314453,0.0,82.32,55.68,-4.56,-54.681725,-88,0,0,0,0,0,0,16,0,0
24.7892248,120.995119,8.170999526977539,94.15708923339844,0.0,83.82,57.6,3.6,-54.13107,-88,0,0,0,0,0,0,16,0,0
24.7892248,120.995119,8.170999526977539,94.15708923339844,0.0,82.14,52.199997,-6.8399997,-57.625698,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.9951187,7.888000011444092,90.84925842285156,0.0,66.54,55.02,2.3999999,-48.977825,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.9951187,7.888000011444092,90.84925842285156,0.0,64.32,43.079998,-12.36,-59.111988,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.9951187,7.888000011444092,90.84925842285156,0.0,58.559998,33.54,-15.36,46.142864,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.9951188,7.951000213623047,96.45008087158203,0.0,56.16,52.379997,4.44,-25.056055,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.9951188,7.951000213623047,96.45008087158203,0.0,53.46,50.7,38.64,-66.18801,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.9951188,7.951000213623047,96.45008087158203,0.0,41.219997,37.739998,18.06,-10.005158,-88,0,0,0,0,0,0,16,0,0
24.7892251,120.9951188,7.951000213623047,96.45008087158203,0.0,44.7,10.5,0.06,128.13837,-88,0,0,0,0,0,0,16,0,0
24.7892304,120.9951158,8.854000091552734,70.10977935791016,0.0,48.36,46.98,10.26,8.092118,-88,0,0,0,0,0,0,16,0,0
24.7892304,120.9951158,8.854000091552734,70.10977935791016,0.0,51.6,47.64,40.68,-63.023895,-88,0,0,0,0,0,0,16,0,0
24.7892304,120.9951158,8.854000091552734,70.10977935791016,0.0,37.14,30.96,18.72,7.3707714,-88,0,0,0,0,0,0,16,0,0
24.7892304,120.9951158,8.854000091552734,70.10977935791016,0.0,42.96,15.54,1.68,81.28916,-88,0,0,0,0,0,0,16,0,0
24.7892424,120.9951093,8.954000473022461,25.62540054321289,0.0,53.64,50.879997,15.9,-23.830524,-88,0,0,0,0,0,0,16,0,0
24.7892424,120.9951093,8.954000473022461,25.62540054321289,0.0,47.34,45.78,31.199999,-171.07141,-88,0,0,0,0,0,0,16,0,0
24.7892507,120.9951058,8.984999656677246,14.3795747756958,0.0,40.02,15.719999,6.3599997,15.965404,-88,0,0,0,0,0,0,16,0,0
24.7892507,120.9951058,8.984999656677246,14.3795747756958,0.0,43.98,21.119999,-0.17999999,29.62765,-88,0,0,0,0,0,0,16,0,0
24.7892662,120.9950992,9.159000396728516,3.448042392730713,0.0,60.0,55.8,32.579998,-105.38703,-88,0,0,0,0,0,0,16,0,0
24.7892662,120.9950992,9.159000396728516,3.448042392730713,0.0,49.079998,44.76,34.739998,-55.66915,-88,0,0,0,0,0,0,16,0,0
24.7892662,120.9950992,9.159000396728516,3.448042392730713,0.0,41.219997,18.9,6.3599997,136.72589,-88,0,0,0,0,0,0,16,0,0
24.7892814,120.9950928,9.39900016784668,356.675048828125,0.0,50.64,46.379997,11.28,17.615812,-88,0,0,0,0,0,0,16,0,0
24.7892814,120.9950928,9.39900016784668,356.675048828125,0.0,65.34,57.0,37.98,-99.92145,-88,0,0,0,0,0,0,16,0,0
24.7892814,120.9950928,9.39900016784668,356.675048828125,0.0,47.579998,46.02,20.76,9.406395,-88,0,0,0,0,0,0,16,0,0
24.7892976,120.9950859,9.506999969482422,353.33673095703125,0.0,44.879997,19.74,-2.6399999,152.66522,-88,0,0,0,0,0,0,16,0,0
