lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,25_dbm,188_dbm,476_dbm,181_dbm,208_dbm,33_dbm,459_dbm,419_dbm,131_dbm,484_dbm,timestamp,intersection_points,label
24.7892442,120.9950122,3.927000045776367,296.95086669921875,10.0,-26.34,22.14,-38.28,17.41289,-87,0,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-22.02,19.26,-37.92,15.575689,-87,0,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-21.42,23.76,-38.82,16.552359,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-20.699999,33.48,-31.439999,-18.55854,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-34.079998,34.079998,-16.74,43.935574,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892507,120.9950141,3.927000045776367,348.28326416015625,10.0,-42.719997,30.119999,-3.84,53.78335,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892601,120.9950167,3.931999921798706,10.148088455200195,10.0,-25.8,14.639999,-39.12,-64.039246,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892616,120.9950171,5.380000114440918,10.533529281616211,-1.0,-5.7,25.68,-39.84,-51.192078,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892616,120.9950171,5.380000114440918,10.533529281616211,-1.0,-28.08,31.32,-27.24,38.552155,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892616,120.9950171,5.380000114440918,10.533529281616211,-1.0,-33.42,28.8,-21.48,38.40458,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892616,120.9950171,5.380000114440918,10.533529281616211,-1.0,-19.439999,20.039999,-34.86,-82.66019,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-22.08,28.08,-27.9,-40.383884,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-36.12,28.32,5.04,72.900444,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-40.739998,22.74,-10.92,31.393232,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-36.12,2.52,-33.48,-57.24742,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7892781,120.9950212,6.119999885559082,13.710018157958984,10.0,-31.019999,38.64,-3.36,29.163029,0,-67,0,0,0,0,0,0,0,0,16,0,1
24.7893035,120.9950211,6.119999885559082,356.61395263671875,10.0,-41.879997,24.3,15.78,78.808525,0,-67,0,0,0,0,0,0,0,0,16,0,1
