lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,208_dbm,181_dbm,246_dbm,484_dbm,33_dbm,200_dbm,25_dbm,443_dbm,189_dbm,459_dbm,timestamp,intersection_points,label
24.7895523,120.9944894,9.982000350952148,242.98519897460938,0.0,-14.88,-14.82,-41.16,73.78375,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895523,120.9944894,9.982000350952148,242.98519897460938,0.0,-8.04,-25.199999,-37.2,-102.672325,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895523,120.9944894,9.982000350952148,242.98519897460938,0.0,8.94,-40.739998,-11.58,12.361741,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895411,120.9944687,9.982999801635742,237.76889038085938,0.0,-16.68,-34.5,-22.199999,-150.68976,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895318,120.9944471,9.83899974822998,240.50674438476562,0.0,-14.7,-26.46,-34.559998,113.91035,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895318,120.9944471,9.83899974822998,240.50674438476562,0.0,2.52,-41.94,-13.74,-163.75789,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895318,120.9944471,9.83899974822998,240.50674438476562,0.0,-10.0199995,-42.6,-1.0799999,-170.17871,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895266,120.9944336,9.572999954223633,241.27381896972656,0.0,-20.34,-28.619999,-31.38,-25.490763,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895266,120.9944336,9.572999954223633,241.27381896972656,0.0,-8.46,-34.8,-29.82,-114.25619,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895266,120.9944336,9.572999954223633,241.27381896972656,0.0,14.04,-39.96,-8.46,120.65489,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895179,120.9944145,9.435999870300293,239.82611083984375,0.0,-8.7,-39.78,-13.44,-160.90952,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895179,120.9944145,9.435999870300293,239.82611083984375,0.0,-12.3,-25.92,-35.1,95.76056,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895179,120.9944145,9.435999870300293,239.82611083984375,0.0,-1.3199999,-38.82,-19.14,-152.9418,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895086,120.9943974,9.406999588012695,237.15126037597656,0.0,2.1599998,-42.0,6.8399997,178.1794,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895086,120.9943974,9.406999588012695,237.15126037597656,0.0,-23.939999,-19.14,-34.98,176.93306,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7895086,120.9943974,9.406999588012695,237.15126037597656,0.0,-19.26,-15.42,-38.16,27.119383,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7894974,120.9943803,9.47599983215332,235.83164978027344,0.0,13.2,-39.18,-14.4,-128.20126,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7894974,120.9943803,9.47599983215332,235.83164978027344,0.0,1.3199999,-42.239998,-3.1799998,-176.05602,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7894857,120.9943637,9.357999801635742,233.2200164794922,0.0,-9.179999,-26.4,-36.78,43.486267,-93,-95,-95,0,0,0,0,0,0,0,17,0,1
24.7894857,120.9943637,9.357999801635742,233.2200164794922,0.0,3.36,-29.46,-34.559998,-119.60706,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894857,120.9943637,9.357999801635742,233.2200164794922,0.0,15.0,-40.2,-3.24,13.541242,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894857,120.9943637,9.357999801635742,233.2200164794922,0.0,-11.88,-39.18,-16.56,-166.86269,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894733,120.994348,9.411999702453613,229.63894653320312,0.0,3.4199998,-24.119999,-38.76,88.68288,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894618,120.9943369,9.366000175476074,228.04779052734375,0.0,19.199999,-36.54,-16.08,-143.18779,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894618,120.9943369,9.366000175476074,228.04779052734375,0.0,3.0,-41.64,-7.14,-178.35367,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894618,120.9943369,9.366000175476074,228.04779052734375,0.0,1.1999999,-23.4,-39.48,-99.37081,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894618,120.9943369,9.366000175476074,228.04779052734375,0.0,7.8599997,-29.699999,-32.399998,170.93379,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894618,120.9943369,9.366000175476074,228.04779052734375,0.0,21.06,-37.5,-2.52,125.73678,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.789447,120.9943273,9.392999649047852,224.16993713378906,0.0,-9.24,-41.16,-8.22,-167.86049,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894337,120.9943162,9.574000358581543,222.80111694335938,0.0,-6.6,-24.18,-39.239998,106.626465,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894337,120.9943162,9.574000358581543,222.80111694335938,0.0,7.68,-36.899998,-24.96,-138.99037,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894337,120.9943162,9.574000358581543,222.80111694335938,0.0,4.7999997,-42.84,4.56,172.38681,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894194,120.9943065,9.907999992370605,220.73789978027344,0.0,-11.82,-41.28,-11.34,-172.1753,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894194,120.9943065,9.907999992370605,220.73789978027344,0.0,-2.3999999,-37.02,-26.76,124.92588,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894065,120.9942997,9.918999671936035,218.5086669921875,0.0,16.5,-40.2,3.12,158.99121,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
24.7894065,120.9942997,9.918999671936035,218.5086669921875,0.0,-2.52,-38.579998,10.679999,172.81711,-86,0,0,-81,-86,0,0,0,0,0,17,0,1
