lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,208_dbm,33_dbm,181_dbm,189_dbm,476_dbm,25_dbm,200_dbm,459_dbm,246_dbm,timestamp,intersection_points,label
24.789611,120.9946757,9.89799976348877,292.9079284667969,0.0,19.74,-2.04,-37.5,-92.37318,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.789611,120.9946757,9.89799976348877,292.9079284667969,0.0,16.14,-1.3199999,-39.54,-56.939636,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.789611,120.9946757,9.89799976348877,292.9079284667969,0.0,16.8,-1.68,-38.94,-35.639454,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.789611,120.9946757,9.89799976348877,292.9079284667969,0.0,19.199999,-11.34,-36.18,-105.40129,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.7896176,120.9946433,9.829999923706055,291.19293212890625,0.0,3.3,-9.179999,-43.26,-89.440956,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.7896176,120.9946433,9.829999923706055,291.19293212890625,0.0,-9.54,-1.86,-44.04,47.170803,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.7896176,120.9946433,9.829999923706055,291.19293212890625,0.0,5.7,-19.74,-37.079998,-112.97542,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.7896176,120.9946433,9.829999923706055,291.19293212890625,0.0,12.66,-30.24,-26.22,-110.11906,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.7896165,120.9946239,9.86400032043457,289.5324401855469,0.0,-2.28,-7.98,-42.6,-46.78312,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.7896142,120.9946051,9.836999893188477,287.7096252441406,0.0,-2.1599998,-6.18,-44.7,-18.401436,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.7896142,120.9946051,9.836999893188477,287.7096252441406,0.0,13.799999,-31.56,-20.699999,-122.83642,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.7896142,120.9946051,9.836999893188477,287.7096252441406,0.0,6.96,-35.7,-19.859999,-146.53322,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.789608,120.9945868,9.758000373840332,284.4612731933594,0.0,5.2799997,-3.78,-43.14,36.39067,-88,-93,-94,0,0,0,0,0,0,9,0,1
24.789608,120.9945868,9.758000373840332,284.4612731933594,0.0,4.5,-6.06,-43.44,-71.66973,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789608,120.9945868,9.758000373840332,284.4612731933594,0.0,15.299999,-35.76,-17.22,25.151426,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789608,120.9945868,9.758000373840332,284.4612731933594,0.0,-13.08,-24.42,-34.14,-124.95585,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7896013,120.994568,9.777999877929688,280.2192077636719,0.0,-15.78,-5.7,-40.379997,83.24099,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7896,120.9945523,9.79800033569336,278.7646484375,0.0,-2.04,-27.42,-31.439999,-135.48587,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7896,120.9945523,9.79800033569336,278.7646484375,0.0,7.5,-39.66,-12.84,153.11769,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7896,120.9945523,9.79800033569336,278.7646484375,0.0,-8.58,-18.84,-38.64,-58.53435,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7896,120.9945523,9.79800033569336,278.7646484375,0.0,-6.6,-18.0,-38.399998,-123.06142,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7895937,120.9945349,9.843999862670898,275.2068176269531,0.0,15.48,-34.739998,-17.76,-163.1832,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7895937,120.9945349,9.843999862670898,275.2068176269531,0.0,6.48,-32.7,-22.38,-143.72583,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789592,120.994519,9.878999710083008,274.2901611328125,0.0,-10.08,-15.12,-39.66,53.251114,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789592,120.994519,9.878999710083008,274.2901611328125,0.0,-2.9399998,-25.74,-32.82,-103.87817,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789592,120.994519,9.878999710083008,274.2901611328125,0.0,13.32,-37.2,-8.7,90.020775,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789592,120.994519,9.878999710083008,274.2901611328125,0.0,-13.32,-31.38,-25.019999,-138.72116,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7895853,120.9945019,9.984000205993652,271.4237976074219,0.0,-11.16,-21.6,-37.32,95.83951,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7895853,120.9945019,9.984000205993652,271.4237976074219,0.0,4.5,-37.079998,-19.68,-159.71414,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789582,120.9944859,9.998000144958496,269.8361511230469,0.0,2.9399998,-40.559998,-8.76,-164.76529,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789582,120.9944859,9.998000144958496,269.8361511230469,0.0,-10.139999,-25.14,-34.14,66.5874,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.789582,120.9944859,9.998000144958496,269.8361511230469,0.0,-7.08,-30.24,-30.24,-95.51657,-93,-93,-95,0,0,0,0,0,0,9,0,1
24.7895725,120.9944695,10.012999534606934,265.8050537109375,0.0,13.08,-37.68,-4.68,85.49049,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895725,120.9944695,10.012999534606934,265.8050537109375,0.0,-7.2,-37.86,-17.22,-152.77576,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895638,120.9944536,9.996999740600586,263.28753662109375,0.0,-16.08,-21.6,-35.82,67.66269,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895638,120.9944536,9.996999740600586,263.28753662109375,0.0,-3.06,-35.7,-22.5,-149.16055,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895638,120.9944536,9.996999740600586,263.28753662109375,0.0,1.14,-42.3,-3.84,-175.86157,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895547,120.9944394,10.013999938964844,260.7514343261719,0.0,-7.2,-36.719997,-25.56,-157.57007,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895547,120.9944394,10.013999938964844,260.7514343261719,0.0,-12.179999,-28.32,-34.02,110.49675,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895453,120.9944255,10.050000190734863,258.1036376953125,0.0,11.88,-37.26,-17.039999,-149.89877,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895453,120.9944255,10.050000190734863,258.1036376953125,0.0,-5.4,-40.92,-10.74,-166.13617,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895453,120.9944255,10.050000190734863,258.1036376953125,0.0,-6.96,-27.0,-35.16,-66.09171,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895453,120.9944255,10.050000190734863,258.1036376953125,0.0,-2.04,-28.26,-31.98,-127.767105,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895352,120.9944103,10.053999900817871,255.31883239746094,0.0,15.179999,-37.739998,-3.12,-26.927094,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895352,120.9944103,10.053999900817871,255.31883239746094,0.0,-4.62,-39.66,-12.24,-160.48721,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.789524,120.994395,10.074000358581543,252.6341552734375,0.0,-1.4399999,-27.84,-33.36,122.55424,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.789524,120.994395,10.074000358581543,252.6341552734375,0.0,13.92,-34.2,-18.9,-142.10817,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.789524,120.994395,10.074000358581543,252.6341552734375,0.0,8.58,-38.399998,2.6399999,163.00854,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895125,120.9943813,10.065999984741211,249.95169067382812,0.0,-6.72,-32.399998,-27.3,-121.5242,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895125,120.9943813,10.065999984741211,249.95169067382812,0.0,1.9799999,-28.98,-31.679998,131.25049,0,-94,-85,-92,0,0,0,0,0,9,0,1
24.7895005,120.9943683,9.991999626159668,246.88916015625,0.0,17.4,-37.079998,-6.42,153.27115,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.7895005,120.9943683,9.991999626159668,246.88916015625,0.0,-2.3999999,-40.68,1.38,177.65137,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.7895005,120.9943683,9.991999626159668,246.88916015625,0.0,-8.94,-27.72,-30.779999,20.498339,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.7895005,120.9943683,9.991999626159668,246.88916015625,0.0,-1.3199999,-31.5,-26.939999,-140.51413,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.789488,120.9943562,10.027999877929688,243.60589599609375,0.0,13.92,-37.26,5.04,139.20508,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.789475,120.9943445,9.979000091552734,240.48165893554688,0.0,-1.92,-39.059998,-13.139999,-160.53671,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.789475,120.9943445,9.979000091552734,240.48165893554688,0.0,-7.3799996,-26.519999,-33.84,103.61335,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.789475,120.9943445,9.979000091552734,240.48165893554688,0.0,4.8599997,-35.7,-21.72,-150.76155,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.789475,120.9943445,9.979000091552734,240.48165893554688,0.0,-1.68,-41.28,7.8599997,178.19211,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.7894624,120.9943331,9.9350004196167,237.70144653320312,0.0,5.7599998,-38.52,-16.14,-119.53243,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.7894624,120.9943331,9.9350004196167,237.70144653320312,0.0,3.1799998,-38.34,-15.9,-128.62096,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.7894488,120.9943207,9.932999610900879,235.22789001464844,0.0,16.02,-38.1,8.7,157.76439,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.7894488,120.9943207,9.932999610900879,235.22789001464844,0.0,-1.26,-41.94,6.48,171.07542,0,-93,-92,-95,0,0,0,0,0,9,0,1
24.7894488,120.9943207,9.932999610900879,235.22789001464844,0.0,-2.46,-37.739998,-21.779999,119.7791,-97,-92,-90,0,0,0,0,0,0,9,0,1
24.7894343,120.9943086,9.942999839782715,232.62759399414062,0.0,3.3,-39.36,-13.0199995,-154.57143,-97,-92,-90,0,0,0,0,0,0,9,0,1
24.7894343,120.9943086,9.942999839782715,232.62759399414062,0.0,6.8399997,-38.7,11.099999,164.64362,-97,-92,-90,0,0,0,0,0,0,9,0,1
