lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,25_dbm,33_dbm,181_dbm,200_dbm,208_dbm,189_dbm,246_dbm,254_dbm,131_dbm,459_dbm,476_dbm,188_dbm,195_dbm,443_dbm,timestamp,intersection_points,label
24.7893216,120.9951207,11.045999526977539,344.9418640136719,0.0,31.98,13.92,-25.14,-44.68823,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893216,120.9951207,11.045999526977539,344.9418640136719,0.0,32.88,12.599999,-27.18,-63.190266,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893216,120.9951207,11.045999526977539,344.9418640136719,0.0,25.859999,18.0,-29.22,-30.708271,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893216,120.9951207,11.045999526977539,344.9418640136719,0.0,26.88,16.26,-29.22,-0.60080737,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.789333,120.9951179,12.456999778747559,342.04266357421875,0.0,33.54,12.78,-22.26,-61.24186,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.789333,120.9951179,12.456999778747559,342.04266357421875,0.0,29.939999,10.74,-29.64,-59.022873,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893456,120.9951137,12.496000289916992,341.7840881347656,0.0,22.68,14.88,-32.82,-11.021279,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893456,120.9951137,12.496000289916992,341.7840881347656,0.0,23.16,9.54,-33.899998,37.327717,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893456,120.9951137,12.496000289916992,341.7840881347656,0.0,31.26,7.2599998,-28.199999,-56.34042,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893456,120.9951137,12.496000289916992,341.7840881347656,0.0,33.78,3.6599998,-25.56,-67.22656,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893585,120.9951089,13.02400016784668,341.1905822753906,0.0,30.66,8.16,-28.439999,-31.534986,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893679,120.9951039,13.133000373840332,338.2777404785156,0.0,27.9,3.06,-31.439999,2.9032872,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7893679,120.9951039,13.133000373840332,338.2777404785156,0.0,38.46,-0.29999998,-17.82,-79.412926,-90,-90,-97,0,0,0,0,0,0,0,0,0,0,0,16,0,0
24.789547,120.9949449,13.161999702453613,314.4368591308594,0.0,36.12,-3.36,-24.539999,-126.72786,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895554,120.9949356,13.116000175476074,314.4729919433594,0.0,32.399998,5.16,-28.8,-42.373924,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895554,120.9949356,13.116000175476074,314.4729919433594,0.0,35.399998,5.1,-25.68,-26.464699,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895554,120.9949356,13.116000175476074,314.4729919433594,0.0,39.059998,-1.14,-18.539999,-94.994194,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895554,120.9949356,13.116000175476074,314.4729919433594,0.0,37.44,-0.42,-23.16,-78.60986,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.789564,120.9949254,13.045000076293945,314.06878662109375,0.0,35.399998,10.86,-23.88,11.991099,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.789564,120.9949254,13.045000076293945,314.06878662109375,0.0,36.84,7.44,-22.26,-63.609867,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895731,120.9949158,12.956000328063965,313.72064208984375,0.0,41.879997,-5.94,-15.0,-106.30889,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895731,120.9949158,12.956000328063965,313.72064208984375,0.0,38.04,-4.38,-21.3,-92.01905,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895731,120.9949158,12.956000328063965,313.72064208984375,0.0,40.559998,2.04,-20.52,-92.74882,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895819,120.9949073,12.918999671936035,313.6865539550781,0.0,39.48,-0.65999997,-19.98,-60.495663,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895819,120.9949073,12.918999671936035,313.6865539550781,0.0,40.86,-7.3799996,-16.38,-98.91036,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895898,120.9948985,12.904999732971191,313.25225830078125,0.0,39.239998,-4.02,-20.52,-83.58581,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895898,120.9948985,12.904999732971191,313.25225830078125,0.0,38.16,5.8199997,-20.76,-77.535774,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7895898,120.9948985,12.904999732971191,313.25225830078125,0.0,39.42,1.02,-18.66,-75.68647,-93,-93,0,-88,0,0,0,0,0,0,0,0,0,0,16,0,0
24.7896177,120.9948613,13.095000267028809,311.3726501464844,0.0,39.899998,-8.16,-13.5,-95.99475,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896177,120.9948613,13.095000267028809,311.3726501464844,0.0,36.12,-8.28,-19.92,-97.335724,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896244,120.9948508,13.314000129699707,310.550537109375,0.0,34.739998,-3.12,-21.72,-79.53687,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896244,120.9948508,13.314000129699707,310.550537109375,0.0,34.8,-3.8999999,-23.039999,-32.381096,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896314,120.9948404,13.380999565124512,309.80072021484375,0.0,36.899998,-12.719999,-16.38,-100.6464,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896314,120.9948404,13.380999565124512,309.80072021484375,0.0,34.559998,-14.82,-17.76,-102.4846,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896314,120.9948404,13.380999565124512,309.80072021484375,0.0,36.6,-7.44,-18.24,-87.679344,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896314,120.9948404,13.380999565124512,309.80072021484375,0.0,38.579998,-9.179999,-16.5,-75.8037,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896375,120.9948313,13.404000282287598,308.8292541503906,0.0,36.48,-15.9,-12.599999,-110.63162,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896437,120.9948211,13.519000053405762,308.60089111328125,0.0,35.16,-14.04,-15.24,-104.34511,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896437,120.9948211,13.519000053405762,308.60089111328125,0.0,37.38,-4.3199997,-17.279999,-71.49231,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896437,120.9948211,13.519000053405762,308.60089111328125,0.0,39.36,-7.7999997,-14.639999,-103.39246,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896437,120.9948211,13.519000053405762,308.60089111328125,0.0,38.52,-15.599999,-10.44,-100.24313,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896437,120.9948211,13.519000053405762,308.60089111328125,0.0,39.42,-13.559999,-15.0,-99.848404,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896492,120.9948098,13.661999702453613,307.9821472167969,0.0,37.739998,-1.9799999,-17.699999,-112.190056,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896492,120.9948098,13.661999702453613,307.9821472167969,0.0,39.36,-4.56,-12.96,-98.55198,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896492,120.9948098,13.661999702453613,307.9821472167969,0.0,39.059998,-9.54,-11.88,-100.084236,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896492,120.9948098,13.661999702453613,307.9821472167969,0.0,37.68,-7.98,-14.34,-95.848076,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896549,120.9947994,13.718000411987305,307.33984375,0.0,38.34,-1.0799999,-15.0,-97.50552,0,-91,0,-96,-79,0,0,0,0,0,0,0,0,0,16,0,0
24.7896806,120.9944614,11.939000129699707,253.8611602783203,0.0,21.6,-31.08,-19.619999,-122.02089,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896806,120.9944614,11.939000129699707,253.8611602783203,0.0,24.3,-30.9,-15.36,-136.3094,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896806,120.9944614,11.939000129699707,253.8611602783203,0.0,31.38,-24.48,-17.22,-122.772865,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896764,120.9944536,11.994999885559082,252.8162841796875,0.0,31.14,-24.359999,-13.2,-125.759735,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896764,120.9944536,11.994999885559082,252.8162841796875,0.0,27.359999,-30.96,-12.78,-116.48485,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896764,120.9944536,11.994999885559082,252.8162841796875,0.0,24.84,-31.859999,-13.08,-126.24297,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896764,120.9944536,11.994999885559082,252.8162841796875,0.0,34.38,-24.24,-12.179999,-117.832565,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896764,120.9944536,11.994999885559082,252.8162841796875,0.0,31.859999,-24.24,-15.36,-121.76402,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896677,120.9944385,12.515000343322754,250.08346557617188,0.0,26.519999,-31.019999,-13.139999,-121.23903,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896677,120.9944385,12.515000343322754,250.08346557617188,0.0,21.6,-32.579998,-14.759999,-126.172134,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896677,120.9944385,12.515000343322754,250.08346557617188,0.0,30.24,-26.76,-13.799999,-120.44247,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896677,120.9944385,12.515000343322754,250.08346557617188,0.0,28.68,-31.32,-14.34,-138.26338,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896615,120.9944304,13.069000244140625,247.1116943359375,0.0,18.6,-35.7,-14.5199995,-137.29286,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896615,120.9944304,13.069000244140625,247.1116943359375,0.0,13.679999,-37.44,-17.22,-151.46774,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896557,120.994422,13.60099983215332,244.511474609375,0.0,24.9,-33.059998,-10.0199995,-140.18079,0,0,0,-85,-91,-94,0,0,0,0,0,0,0,0,16,0,0
24.7896557,120.994422,13.60099983215332,244.511474609375,0.0,26.4,-29.88,-13.259999,-145.38657,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896557,120.994422,13.60099983215332,244.511474609375,0.0,19.92,-35.34,-13.98,-140.2998,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896557,120.994422,13.60099983215332,244.511474609375,0.0,15.12,-36.48,-17.52,-143.60643,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.789649,120.9944135,13.54800033569336,241.75318908691406,0.0,26.64,-29.519999,-14.16,-139.2061,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.789649,120.9944135,13.54800033569336,241.75318908691406,0.0,32.04,-24.779999,-15.36,-127.53858,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896417,120.9944043,13.625,239.14404296875,0.0,28.98,-30.119999,-10.38,-129.34297,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896417,120.9944043,13.625,239.14404296875,0.0,18.66,-35.46,-14.28,-150.9868,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896417,120.9944043,13.625,239.14404296875,0.0,22.26,-33.6,-13.799999,-155.15076,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896343,120.9943944,13.666000366210938,237.20584106445312,0.0,29.64,-28.68,-15.0,-161.16376,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896343,120.9943944,13.666000366210938,237.20584106445312,0.0,20.939999,-36.059998,-11.639999,-150.44092,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896343,120.9943944,13.666000366210938,237.20584106445312,0.0,10.559999,-39.78,-9.9,-159.72043,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896288,120.9943865,13.673999786376953,236.64622497558594,0.0,10.679999,-40.8,-7.14,-164.24913,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896288,120.9943865,13.673999786376953,236.64622497558594,0.0,15.719999,-38.94,-8.28,179.08398,0,0,-91,-81,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7896235,120.9943791,13.687999725341797,235.95286560058594,0.0,11.34,-41.399998,-0.24,-162.08469,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896235,120.9943791,13.687999725341797,235.95286560058594,0.0,7.14,-42.36,-7.02,-162.5804,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896235,120.9943791,13.687999725341797,235.95286560058594,0.0,13.5,-40.739998,-0.53999996,-163.96684,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896235,120.9943791,13.687999725341797,235.95286560058594,0.0,22.859999,-35.76,-3.78,175.93375,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896164,120.9943709,13.21399974822998,233.81634521484375,0.0,8.82,-39.719997,-14.82,-162.78802,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896164,120.9943709,13.21399974822998,233.81634521484375,0.0,3.9599998,-40.44,-16.44,-163.36029,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896094,120.994364,13.050000190734863,231.15013122558594,0.0,13.98,-40.739998,0.17999999,-170.01962,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896094,120.994364,13.050000190734863,231.15013122558594,0.0,19.26,-38.94,1.14,-170.61285,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896094,120.994364,13.050000190734863,231.15013122558594,0.0,9.12,-41.76,-6.66,-150.76747,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7896094,120.994364,13.050000190734863,231.15013122558594,0.0,1.3199999,-43.079998,-7.2599998,-174.24516,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.789602,120.9943584,13.024999618530273,227.80575561523438,0.0,18.3,-37.62,12.3,-176.95406,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.789602,120.9943584,13.024999618530273,227.80575561523438,0.0,18.72,-39.3,4.62,-153.8894,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7895957,120.994352,12.972000122070312,226.21873474121094,0.0,7.68,-42.899998,-8.7,-158.71408,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7895957,120.994352,12.972000122070312,226.21873474121094,0.0,5.16,-43.02,-1.3199999,-173.4455,0,0,-94,0,-95,0,-91,0,0,0,0,0,0,0,16,0,0
24.7895957,120.994352,12.972000122070312,226.21873474121094,0.0,23.039999,-36.0,9.719999,176.74129,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895879,120.9943456,13.01200008392334,223.6044921875,0.0,11.34,-42.48,3.4199998,-163.28076,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895879,120.9943456,13.01200008392334,223.6044921875,0.0,3.78,-42.18,-13.92,-162.71751,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895784,120.9943393,12.991000175476074,221.1680908203125,0.0,15.839999,-39.239998,9.54,-154.71848,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895784,120.9943393,12.991000175476074,221.1680908203125,0.0,26.699999,-33.12,7.68,-148.19362,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895784,120.9943393,12.991000175476074,221.1680908203125,0.0,7.2,-42.719997,-5.64,-159.11516,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895676,120.9943335,12.984999656677246,218.25869750976562,0.0,2.76,-43.98,-7.3199997,-174.20703,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895676,120.9943335,12.984999656677246,218.25869750976562,0.0,21.539999,-36.719997,5.7,-169.85161,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895676,120.9943335,12.984999656677246,218.25869750976562,0.0,14.88,-40.5,1.1999999,-160.3937,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895598,120.9943289,13.12399959564209,216.81187438964844,0.0,-1.5,-42.059998,-14.94,-160.63509,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895598,120.9943289,13.12399959564209,216.81187438964844,0.0,4.14,-43.559998,-3.6,-174.57782,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895598,120.9943289,13.12399959564209,216.81187438964844,0.0,18.9,-37.86,-1.0799999,-168.04599,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895598,120.9943289,13.12399959564209,216.81187438964844,0.0,4.92,-42.42,-6.24,-175.59996,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
24.7895469,120.994323,13.720000267028809,212.87681579589844,0.0,-6.8399997,-39.059998,-21.3,-171.41446,0,0,-92,-94,-92,0,0,0,0,0,0,0,0,0,16,0,0
