lat,lon,bear,heading,magx_kalman,magy_kalman,magz_kalman,magx_lowess,magy_lowess,magz_lowess,mag,mag_kalman,mag_lowess,timestamp,intersection_points,33_dbm,25_dbm,181_dbm,189_dbm,188_dbm,208_dbm,200_dbm,246_dbm,label
24.7892698,120.99508190000002,285.6128234863281,19.564425,-13.195731156568716,24.783157588046915,-21.982245555396048,20.189982808592585,27.43680147953631,-32.33667656658909,51.91764960126759,35.658818550929794,46.968863437504446,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892698,120.99508190000002,285.6128234863281,17.647202,-11.455063491736198,30.063838634206423,-23.12524553610754,20.37599782543407,27.209576136945397,-32.16377146937105,52.35886005252601,39.62107840693602,46.797975555233684,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892704,120.99507990000001,285.8019714355469,8.796074,-8.98117434059905,34.846757210385135,-23.33208448819378,20.561653012351957,26.982302022071522,-31.990833119480374,54.8287705176763,42.887575673847266,46.62874221646011,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892704,120.99507990000001,285.8019714355469,5.1788473,-6.301013389434641,38.76568329352422,-22.818830556426644,20.746943628852367,26.754977014047753,-31.817862460782152,58.016739581607034,45.42224123610115,46.461175582783646,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892704,120.99507990000001,285.8019714355469,5.1822047,-3.342615372444593,41.06923144121958,-22.818094689449964,20.93186508152572,26.527598569418814,-31.644860570151327,57.0963605991135,47.101170834250674,46.29528768844346,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892701,120.99508229999999,290.0582275390625,16.219186999999998,0.04912859857366314,42.11821141999901,-23.199485916554043,21.11641302388203,26.3001640140471,-31.47182902317963,55.52169082295679,48.08494872235305,46.13109090651558,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892701,120.99508229999999,290.0582275390625,-2.4470343999999997,3.5307276085393555,42.48053394639455,-23.31322771908373,21.300583435886633,26.07267057164526,-31.29876992007986,53.806618679861344,48.585680899811784,45.968598020352985,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892701,120.99508229999999,290.0582275390625,-22.90853,6.483184109073503,42.42980979827502,-23.247398652498738,21.48437276728768,25.845115219558494,-31.12568570879606,52.962430210102745,48.81354299595696,45.807822091415545,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892701,120.99508229999999,290.0582275390625,-6.666835300000001,8.265807380671077,41.96090314396668,-23.74174981972487,21.6677778789738,25.61749459400856,-30.952579203798415,53.44123993396868,48.915351872537066,45.648776400403314,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892701,120.99508229999999,290.0582275390625,18.088835,9.774434282417417,41.11138737139627,-24.098975209152798,21.850795830522916,25.389804976235602,-30.779453716430528,52.04217355568466,48.64613389852948,45.49147443467143,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892712,120.9950753,295.6848449707031,9.755685,11.594948868510466,40.0807743609438,-24.05296659792646,22.033424064114858,25.162042261128715,-30.60631289649145,51.58541437577103,48.16073623603805,45.33592985544558,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892712,120.9950753,295.6848449707031,-16.627394,13.382797087890467,38.76471430805513,-23.834315292246533,22.215660517251564,24.934201891608616,-30.433160601378436,52.34689675615928,47.43286749429135,45.1821564378966,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892712,120.9950753,295.6848449707031,-16.781315,14.614244101613838,36.67152981201588,-24.419722302731586,22.39750350933399,24.706278872353643,-30.260000999164976,51.693751697859966,46.4187469322218,45.03016810582214,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892712,120.9950753,295.6848449707031,37.022026000000004,15.553559335730736,33.91126119278565,-25.208415360386894,22.578951532003142,24.47826784936449,-30.08683877269893,44.58343190020257,45.026115185270164,44.87997901652983,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892712,120.9950753,295.6848449707031,1.0811024,16.891776824809057,31.656358918307042,-25.40876138520902,22.760003298960054,24.250163078177707,-29.91367898520571,43.618844551409204,43.96660481995765,44.731603480278054,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892837,120.99507220000001,355.0394287109375,-46.076916,18.147798679555965,29.733188738520745,-25.387443833638564,22.940657892769085,24.021958499863644,-29.7405267921969,46.32703174605518,43.10368213830859,44.585055888712546,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892837,120.99507220000001,355.0394287109375,-37.230637,18.1624741434074,27.54000350711352,-26.623125655952958,23.120914546395372,23.79364774647926,-29.567387558522363,43.76476608460282,42.39242951134587,44.44035069147314,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892837,120.99507220000001,355.0394287109375,62.8118,17.550661316190244,25.37111868605005,-28.123208507790736,23.300772238462763,23.56522406244284,-29.394267134177163,44.503056074836024,41.744870736294395,44.29750232662356,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892872,120.9950719,355.048583984375,12.223494,18.083484574219224,23.766310914413697,-28.63656005040749,23.48022989685643,23.336680476252095,-29.2211716463509,43.5438399776593,41.3751437501696,44.156525271418474,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.7892872,120.9950719,355.048583984375,-69.43231999999999,19.169516886104823,22.077091930947546,-28.703025407005708,23.659286870846664,23.1080100482187,-29.04810705312191,43.290113926392024,40.97233253415507,44.01743412552831,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.789299800000002,120.9950678,355.0055847167969,-35.15591,19.12229051414604,20.1931780628388,-29.68899373319433,23.83794284287877,22.879205762849114,-28.875079266709037,41.05249684294491,40.68000471576381,43.88024359524311,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.789299800000002,120.9950678,355.0055847167969,86.44518000000001,18.863217840799255,18.537398992271253,-30.637514300349242,24.01619735166268,22.650260548393067,-28.702094516991387,41.893966152657356,40.4736140122452,43.744968485603096,16,0,-85.0,-90.0,0.0,0.0,0.0,0.0,0.0,,0
24.789299800000002,120.9950678,355.0055847167969,-17.007738,19.821920020945768,17.859433792792334,-30.72913585396975,24.194050036203286,22.421167509038547,-28.529159080472894,42.28467568375107,40.69579436560531,43.61162376547797,16,0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,,0
24.789299800000002,120.9950678,355.0055847167969,-70.08776,20.890622435931675,17.227986370594724,-30.560897363814234,24.371500957890888,22.191920068281483,-28.356278985704712,43.7341559881976,40.831238872065065,43.48022462191967,16,0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,,0
24.789299800000002,120.9950678,355.0055847167969,-18.081478,20.966284043834,16.147796548175837,-31.18686290826117,24.54855038258079,21.962511846944803,-28.183460172220713,42.73369108701004,40.901794802021634,43.35078638032359,16,0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,,0
24.7893159,120.99506389999999,354.2757263183594,105.75786000000001,20.845624796551693,15.14129629379761,-31.69699924964446,24.725198418480502,21.73293653615756,-28.010708781256408,42.799518487011056,40.84726047175185,43.22332441802965,16,0,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,,0
