lat,lon,acc,bear,bearAcc,mag_x,mag_y,mag_z,heading,25_dbm,33_dbm,200_dbm,208_dbm,181_dbm,131_dbm,443_dbm,484_dbm,188_dbm,189_dbm,476_dbm,196_dbm,459_dbm,246_dbm,419_dbm,timestamp,intersection_points,label
24.7893264,120.9949655,3.9200000762939453,180.0,10.0,2.3999999,12.84,-42.42,50.16769,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893264,120.9949655,3.9200000762939453,180.0,10.0,-11.94,24.42,-34.44,45.524063,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893264,120.9949655,3.9200000762939453,180.0,10.0,-10.2,34.14,-24.539999,37.23503,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893264,120.9949655,3.9200000762939453,180.0,10.0,2.8799999,41.52,-11.04,-4.5503154,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893264,120.9949655,3.9200000762939453,180.0,10.0,-6.24,37.38,-20.58,5.7730927,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893193,120.9949734,3.9200000762939453,182.8419647216797,10.0,-24.359999,29.88,-20.34,41.16413,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893193,120.9949734,3.9200000762939453,182.8419647216797,10.0,-25.14,28.38,-22.619999,43.044556,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893193,120.9949734,3.9200000762939453,182.8419647216797,10.0,-10.559999,12.78,-41.34,-69.969215,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893193,120.9949734,3.9200000762939453,182.8419647216797,10.0,-9.599999,24.72,-34.2,-58.818817,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893193,120.9949734,3.9200000762939453,182.8419647216797,10.0,-37.079998,18.72,-7.62,71.34442,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893291,120.9949805,3.9240000247955322,9.169870376586914,10.0,-38.7,13.5,-10.08,44.161488,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
24.7893291,120.9949805,3.9240000247955322,9.169870376586914,10.0,-26.699999,-4.8599997,-33.36,-104.02132,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
