lat,lon,acc,bear,bearAcc,magnetometer_x,magnetometer_y,magnetometer_z,heading,25_dbm,33_dbm,188_dbm,208_dbm,246_dbm,181_dbm,195_dbm,189_dbm,200_dbm,484_dbm,254_dbm,459_dbm,131_dbm,476_dbm,289_dbm,502_dbm,timestamp,intersection_points,label
24.7892233,120.9950193,3.990999937057495,18.639015197753906,10.0,-13.62,12.54,-43.739998,-19.250038,-77,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892233,120.9950193,3.990999937057495,18.639015197753906,10.0,-4.7999997,24.42,-38.879997,0.8881478,-77,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892233,120.9950193,3.990999937057495,356.7116394042969,10.0,5.64,37.38,-25.74,-8.348625,-77,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892233,120.9950193,3.990999937057495,356.7116394042969,10.0,4.5,37.32,-26.699999,-6.3281193,-77,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892233,120.9950193,3.990999937057495,356.7116394042969,10.0,2.34,26.099998,-36.719997,-5.864172,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892233,120.9950193,3.990999937057495,356.7116394042969,10.0,-2.52,26.939999,-36.78,15.56979,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892233,120.9950193,3.990999937057495,356.7116394042969,10.0,-4.5,28.92,-35.16,8.638883,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892305,120.9950135,3.990999937057495,337.6027526855469,10.0,18.72,28.019999,-29.939999,-49.04346,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892305,120.9950135,3.990999937057495,337.6027526855469,10.0,6.7799997,25.859999,-37.079998,-6.5107684,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892305,120.9950135,3.990999937057495,337.6027526855469,10.0,6.3599997,19.14,-39.12,62.41399,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892305,120.9950135,3.990999937057495,337.6027526855469,10.0,20.699999,23.1,-30.48,-32.718475,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892305,120.9950135,3.990999937057495,337.6027526855469,10.0,28.8,23.88,-22.38,-49.915417,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892431,120.9950096,4.00600004196167,359.9676513671875,10.0,13.799999,16.98,-36.36,5.1616054,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892431,120.9950096,4.00600004196167,359.9676513671875,10.0,4.14,13.259999,-39.36,71.75922,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892431,120.9950096,4.00600004196167,359.9676513671875,10.0,17.58,18.18,-34.92,-30.659763,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892431,120.9950096,4.00600004196167,359.9676513671875,10.0,21.96,20.16,-28.08,-52.20497,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.7892431,120.9950096,4.00600004196167,359.9676513671875,10.0,6.42,9.54,-38.7,34.46702,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.78926,120.9950079,3.9700000286102295,1.0703260898590088,10.0,2.34,9.9,-38.46,65.281,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.78926,120.9950079,3.9700000286102295,1.0703260898590088,10.0,18.0,16.5,-30.24,-33.732315,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
24.78926,120.9950079,3.9700000286102295,1.0703260898590088,10.0,23.88,19.38,-23.279999,-53.437325,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,ROAD
