lat,lon,acc,bear,bearAcc,magnetometer_x,magnetometer_y,magnetometer_z,heading,25_dbm,33_dbm,208_dbm,181_dbm,246_dbm,200_dbm,189_dbm,459_dbm,188_dbm,timestamp,intersection_points,label
24.7892743,120.9949933,7.5980000495910645,0.0,10.0,-4.7999997,33.48,-35.52,24.172987,-82,-83,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,7.5980000495910645,0.0,10.0,-5.8199997,34.26,-35.16,27.107216,-82,-83,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,7.677999973297119,0.0,-1.0,-9.0,34.98,-35.7,29.003948,-82,-83,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,7.677999973297119,0.0,-1.0,-9.0,33.96,-36.899998,30.708702,-82,-83,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,7.677999973297119,0.0,-1.0,-8.4,36.84,-33.899998,21.242153,-82,-83,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,3.9800000190734863,0.0,10.0,-12.54,34.02,-32.28,12.5317955,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,3.9800000190734863,0.0,10.0,-10.98,35.16,-32.28,4.641677,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,3.9800000190734863,0.0,10.0,-12.54,35.579998,-30.24,21.547466,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,3.9800000190734863,0.0,10.0,-16.44,35.94,-28.439999,22.44207,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892743,120.9949933,3.9800000190734863,0.0,10.0,-18.9,35.579998,-27.48,19.057646,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892757,120.9949937,3.99399995803833,15.785735130310059,10.0,-20.22,32.399998,-29.16,12.734642,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892757,120.9949937,3.99399995803833,15.785735130310059,10.0,-20.279999,32.76,-28.14,35.304375,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892757,120.9949937,3.99399995803833,15.785735130310059,10.0,-16.8,16.68,-41.219997,29.25134,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892757,120.9949937,3.99399995803833,15.785735130310059,10.0,-10.08,16.08,-42.96,-62.28187,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892757,120.9949937,3.99399995803833,15.785735130310059,10.0,-12.0,22.14,-38.219997,-4.215254,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.789282,120.9949962,3.99399995803833,12.907729148864746,10.0,-15.839999,23.16,-36.6,51.804302,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.789282,120.9949962,3.99399995803833,12.907729148864746,10.0,-7.02,20.76,-37.92,2.1003072,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.789282,120.9949962,3.99399995803833,12.907729148864746,10.0,-2.04,28.92,-33.36,-49.846836,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.789282,120.9949962,3.99399995803833,12.907729148864746,10.0,-25.92,26.039999,-26.16,40.239834,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.789282,120.9949962,3.99399995803833,12.907729148864746,10.0,-37.02,21.42,-13.5,134.89713,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892969,120.9949997,3.9800000190734863,12.082889556884766,10.0,-28.199999,3.6,-32.579998,-143.5565,-84,-84,0,0,0,0,0,0,0,17,0,ROAD
24.7892969,120.9949997,3.9800000190734863,12.082889556884766,10.0,-31.32,17.94,-23.82,-49.72875,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7892969,120.9949997,3.9800000190734863,12.082889556884766,10.0,-34.079998,29.34,4.14,82.054146,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7892969,120.9949997,3.9800000190734863,12.082889556884766,10.0,-42.96,18.9,-3.48,34.533985,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7892969,120.9949997,3.9800000190734863,12.082889556884766,10.0,-36.3,-13.62,-26.46,-23.96549,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893234,120.9950044,3.9619998931884766,2.675530433654785,10.0,-35.76,28.92,-11.5199995,9.402495,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893234,120.9950044,3.9619998931884766,2.675530433654785,10.0,-39.18,23.939999,6.48,73.440475,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893234,120.9950044,3.9619998931884766,2.675530433654785,10.0,-39.899998,-5.52,-22.199999,-112.03461,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893234,120.9950044,3.9619998931884766,2.675530433654785,10.0,-33.3,-9.96,-29.22,-104.91845,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893234,120.9950044,3.9619998931884766,2.675530433654785,10.0,-33.96,32.88,1.0799999,29.213331,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893557,120.995005,3.9000000953674316,357.016845703125,10.0,-44.16,18.24,2.28,59.127384,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893557,120.995005,3.9000000953674316,357.016845703125,10.0,-32.16,-15.78,-31.38,9.501825,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893557,120.995005,3.9000000953674316,357.016845703125,10.0,-33.18,18.66,-31.74,-58.203827,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
24.7893366,120.9950132,13.472000122070312,148.56378173828125,0.0,-36.66,29.82,13.799999,53.8417,-78,-85,0,0,0,0,0,0,0,17,0,ROAD
